RecipeID,Recipe Name,Ingredients,Directions,Rate
7000,Golden Crescent Rolls Recipe ,"yeast,water,white sugar,salt,egg,butter,flour,butter","Dissolve yeast in warm water.**Stir in sugar, salt, eggs, butter, and 2 cups of flour. Beat until smooth. Mix in remaining flour until smooth. Scrape dough from side of bowl. Knead dough, then cover it and let rise in a warm place until double (about 1 1/2 hours).**Punch down dough. Divide in half. Roll each half into a 12-inch circle. Spread with butter. Cut into 10 to 15 wedge. Roll up the wedges starting with the wide end. Place rolls with point under on a greased baking sheet. Cover and let rise until double (about 1 hour).**Bake at 400 degrees F (205 degrees C) for 12-15 minute or until golden brown. Brush tops with butter when they come out of the oven.**",5
7001,Poppy Seed Bread with Glaze Recipe ,"flour,salt,baking powder,poppy,butter,vegetable oil,egg,milk,white sugar,vanilla,almond,orange juice,butter,almond,vanilla,sugar","'Preheat oven to 350 degrees F (175 degrees C). Grease bottoms of two 9-inch loaf pans.**Mix together flour, salt, baking powder, poppy seeds, butter flavoring, oil, eggs, milk, sugar, vanilla, and almond flavoring. Pour into prepared pans.**Bake at 350 degrees F (175 degrees C) for one hour. Cool 5 minutes. Poke holes in top of loaves and pour glaze over.**To make glaze: Mix orange juice, 1/2 teaspoon butter flavoring, 1/2 teaspoon almond flavoring, and 1 teaspoon vanilla. Add enough confectioners'' sugar to make glaze.**'",5
7003,Applesauce Bread I Recipe ,"flour,egg,white sugar,vegetable oil,applesauce,raisin,cinnamon,baking soda,baking powder,sour cream","Preheat oven to 350 degrees F (175 degrees C).  Grease and flour two 9 x 5 inch loaf pans.**Beat together eggs, sugar, and oil.  Blend in applesauce, and then sour cream or buttermilk.  Mix in flour, baking powder, soda, and cinnamon. Stir in raisins. Pour batter into prepared pans.**Bake for 80 minutes.  Cool on wire racks.**",4
7009,Whole Wheat Bread II Recipe ,"shortening,water,brown sugar,yeast,water,white sugar,salt,bread,whole wheat","Dissolve brown sugar in 1 cup hot water.  Add shortening, and stir to melt.  Let cool.**In a large bowl, dissolve yeast in 4 cups warm water.  Add white sugar, salt, and bread flour.  Beat well.  Stir in shortening mixture.  Stir in enough whole wheat flour to make a stiff but not dry dough.**Turn out onto a lightly floured surface.  Knead until smooth and elastic.  Place in a large, well oiled bowl.  Cover, and allow to rise until dough doubles in bulk.**Divide dough into four equal parts.  Shape into loaves.  Place in greased, 9 x 5 inch pans,  turning each loaf over in pan to grease top.  Allow to rise until dough doubles in bulk.**Bake at 350 degrees F (175 degrees C) for 35 minutes. Let cool before slicing.**",5
7013,Mocha Chocolate Chip Banana Muffins Recipe ,"margarine,white sugar,egg,banana,coffee,water,vanilla,flour,salt,baking powder,baking soda,chocolate","Preheat oven to 350 degrees F (175 degrees C).**Blend butter or margarine, sugar, egg, banana, dissolved coffee, and vanilla in food processor for 2 minutes. Add flour, salt, baking powder, and soda, and blend just until flour disappears. Add chocolate chips and mix in with wooden spoon. Spoon mixture into 15 to 18 paper-lined muffin cups.**Bake for 25 minutes.  Cool on wire racks.**",5
7246,'Aunt Bert''s White Cake Recipe ',"white sugar,flour,egg,egg,buttermilk,vanilla,salt,baking powder,baking soda,shortening,water","Mix together the buttermilk with the baking soda.  Set aside.  Cream shortening, sugar, eggs and vanilla. Beat well.**Add buttermilk and baking soda mixture.**Sift dry ingredients, and add to creamed mixture.**Add boiling water, and mix well.**Pour into a greased and floured 9 x 13 inch pan. Bake at 350 degrees F (175 degrees C) for approximately 35 minutes, or until toothpick comes out clean.**Let cool.   I frost with cream cheese frosting.**",4
7251,Chocolate Zucchini Cake I Recipe ,"butter,vegetable oil,white sugar,egg,milk,vanilla,flour,baking soda,cinnamon,clove,salt,cocoa powder,zucchini,walnut,chocolate","Cream together butter or margarine, vegetable oil and sugar.**Add eggs, sour milk, and vanilla. Blend well.**In a separate bowl, sift dry ingredients together.**Blend dry ingredients into the butter mixture.**Add grated zucchini, and mix well.**Spread in a greased floured 9 x 13 inch pan. Sprinkle walnuts and chocolate chips on top.**Bake in a preheated 325 degrees F (165 degrees C) oven for 45 minutes.**",5
7254,Carrot Cake II Recipe ,"egg,white sugar,applesauce,milk,vanilla,clove,nutmeg,cinnamon,baking soda,whole wheat,flour,pineapple,carrot,walnut,raisin","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9X13 inch pan with non-fat cooking spray.**In large mixing bowl, beat egg whites. Slowly beat in sugar, then applesauce, skim milk, and vanilla. Stir in cloves, nutmeg, cinnamon, baking soda, and flour. Stir in, one ingredient at a time, pineapple (with juice), carrots, walnuts, and raisins. Pour into the prepared pan.**Bake for 35 - 40 minutes in the preheated oven.  It is done when toothpick inserted in center comes out clean.**",4
7255,Dirt Cake I Recipe ,"butter,cream cheese,sugar,vanilla,milk,topping thawed,chocolate","Chop cookies very fine in food processor. The white cream will disappear.**Mix butter, cream cheese, and sugar in bowl.**In a large bowl mix milk, pudding and whipped topping together.**Combine pudding mixture and cream mixture together.**Layer in flower pot, starting with cookies then cream mixture.  Repeat layers.**Chill until ready to serve.**Add artificial flower and trowel.  Enjoy!**",5
7256,Chocolate Chip Oatmeal Cake Recipe ,"water,oat,brown sugar,white sugar,butter,egg,flour,baking soda,cocoa powder,salt,chocolate,walnut","Mix water and oatmeal in mixing bowl, and let sit 10 minutes.**Add sugars, butter or margarine, and eggs. Mix well.**Add flour, baking soda, cocoa, and salt. Blend.**Pour into greased and floured 10 x 15 x 1 inch jelly roll pan.  Top with chocolate chips and chopped nuts.**Bake in a preheated 350 degrees F (175 degrees C) oven for 20 minutes.**",5
7259,"'Grandma''s Eggless, Butterless, Milkless Cake Recipe '","flour,white sugar,cocoa powder,baking soda,baking powder,vegetable oil,water,vinegar,vanilla","'In a large bowl, combine all the dry ingredients together.**Combine all the wet ingredients together in another bowl.**Pour the liquid ingredients all at once into the dry ingredients, and beat until smooth.**Pour batter into a greased 9 x 13 inch pan.**Bake in a preheated 350 degrees F (175 degrees C) oven for 20-25 minutes.  Let cool in pan.  When cool sprinkle with confectioners'' sugar.**'",4
